path,size_bytes,sha256,outcome,doc_id,community,category,pre_screen_doc_type,pre_screen_confidence,pre_screen_reasoning,existing_id,error
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\Crash Report.pdf",1501726,8db57d7e5ee4ca6b9bf4f7c1af206b7944f54f379a30e81d0aeecc0c6667a948,dry_run_would_upload,,,,claim_evidence,high,Crash report is evidence supporting the '2024 Tennis Court Claim' folder; incident documentation is necessary for HOA claim processing and insurance purposes.,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\FW_ Video of Accident .msg",377856,,skipped_filetype_unknown,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0814 - Copy.jpg",9040810,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0814.jpg",9040810,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0815.jpg",9358893,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0816.jpg",7326291,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0817.jpg",5667262,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0818.jpg",4544519,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0819.jpg",7238984,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0820.jpg",5694299,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0821.jpg",6587425,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0822.jpg",5839164,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0823.jpg",6459468,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0824.jpg",5167765,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0825.jpg",5822086,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0826.jpg",3326073,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0829.jpg",3101686,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0830.jpg",4998713,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0831.jpg",7854047,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0832.jpg",6600905,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0833.jpg",3385363,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0834.jpg",5473225,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\IMG_0835.jpg",5888199,,skipped_filetype_irrelevant,,,,,,,,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\Claim Notes.pdf",453183,6f60c6bc047f99cd1799c1b71b63d2a8fece9a48245629e35d7af42ff69c825a,skipped_not_relevant,,,,insurance_claim_unrelated,high,"This is a claim file for Root Insurance (personal/auto insurer) with no connection to Waterview Estates HOA; the folder context '2024 Tennis Court Claim' suggests this file was misfiled or the folder itself is misnamed, but the document itself addresses an unrelated policyholder and claim.",,
"C:\Users\edget\OneDrive - Bedrock Association Management, LLC\BEDROCK\Client - Waterview Estates\2024 Tennis Court Claim\Root Insurance Documents.pdf",250171,a070373644c31c97da4cfb103e8849468919e308e3dd000afe039b94eca156b3,dry_run_would_upload,,,,claim_correspondence,high,"Insurance claim document directly supporting the 2024 Tennis Court Claim folder context, containing adjuster correspondence and claim details for Waterview Estates.",,
